id,title,state,created,closed,url,"closed, not updated"
10685,b'Clarify pip install instructions: GPU vs. CPU',closed,2022-02-26T01:48:45Z,2022-03-02T04:35:50Z,https://api.github.com/repos/microsoft/onnxruntime/issues/10685,True
10834,"b""I can't find a example for GPU multi input""",closed,2022-03-10T17:09:33Z,2022-03-16T17:40:19Z,https://api.github.com/repos/microsoft/onnxruntime/issues/10834,True
10839,b'Missing documentation on LayerNormalization contrib spec',closed,2022-03-10T21:56:39Z,2022-03-18T18:40:06Z,https://api.github.com/repos/microsoft/onnxruntime/issues/10839,True
10902,b'onnxruntime TRT EP link for 1.9 is incorrect',closed,2022-03-17T00:20:42Z,2022-03-17T18:56:26Z,https://api.github.com/repos/microsoft/onnxruntime/issues/10902,True
10968,b'Reference for adding two custom kernels to onnxruntime #211',closed,2022-03-22T09:56:33Z,2022-03-22T17:46:20Z,https://api.github.com/repos/microsoft/onnxruntime/issues/10968,True
10975,b'C++ onnxruntime profiling',open,2022-03-22T20:07:41Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/10975,False
11005,b'Reorder input and Reorder output Ops',open,2022-03-25T19:50:26Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11005,False
11133,b'Documentation for io binding',open,2022-04-07T00:06:02Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11133,False
11322,b'Sample code in CUDA EP does not compile',closed,2022-04-22T19:42:52Z,2022-06-08T00:39:20Z,https://api.github.com/repos/microsoft/onnxruntime/issues/11322,True
11408,b'CSharp Example does not work with new version of imageSharp due to API Change',closed,2022-04-30T06:00:21Z,2022-05-10T17:26:37Z,https://api.github.com/repos/microsoft/onnxruntime/issues/11408,True
11414,b'Update docs for building with oneDNN execution provider GPU support. OpenCL SDK deprecated.',open,2022-05-01T20:43:50Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11414,False
11464,b'Update docs for CUDA Execution Provider',closed,2022-05-09T08:23:44Z,2022-06-08T18:57:52Z,https://api.github.com/repos/microsoft/onnxruntime/issues/11464,True
1297,b'Documentation on JSON profile report',closed,2019-06-26T18:51:00Z,2019-10-21T21:50:23Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1297,True
11505,b'[Documentation Request]',open,2022-05-12T16:31:45Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11505,False
11557,b'Minimal build documentation does not include all important limitations',open,2022-05-17T23:35:56Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11557,False
11564,"b'[Documentation]: Overview of C# Workflow for consuming ""Augmented"" Onnx model with Custom Operators '",open,2022-05-18T19:42:01Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11564,False
11627,b'Why does `enable_cpu_mem_arena` have such a large effect on memory usage during inference? ',open,2022-05-25T15:10:59Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11627,False
11655,b'[C#] Documentation on how to coordinate the external Onnxruntime-Extension',open,2022-05-27T12:23:47Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11655,False
11657,"b'WIP [Documentation]: C# Workflow for consuming ""Augmented"" Onnx model with Custom Operators'",open,2022-05-27T16:22:31Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11657,False
11661,b'Missing link on InferenceHighLevelDesign.md',closed,2022-05-27T23:53:37Z,2022-06-08T04:39:59Z,https://api.github.com/repos/microsoft/onnxruntime/issues/11661,True
11662,b'[C#] Update onnxruntime_dependencies diagram with contributed and custom operators API',open,2022-05-27T23:58:11Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11662,False
11720,"b'""Build for Android"" docs doesn\'t mention how to run tests'",closed,2022-06-02T22:57:45Z,2022-06-09T00:05:11Z,https://api.github.com/repos/microsoft/onnxruntime/issues/11720,True
11913,b'[Documentation Request] Clarify do_copy_in_default_stream effect',open,2022-06-20T16:09:25Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/11913,False
12100,b'NLP csharp example',open,2022-07-06T04:48:34Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/12100,False
12198,b'[Documentation Request] Update Documentation for ARM Cross-Compilation on Linux',closed,2022-07-17T19:12:32Z,2022-07-29T19:42:29Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12198,True
12244,b'clean up build instructions for ORT Web',open,2022-07-19T22:40:41Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/12244,False
12389,b'[Documentation Request] Java API docs need updating',closed,2022-07-29T22:02:34Z,2022-08-12T19:03:39Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12389,True
