id,title,type,state,created,first_update,closed,time_to_update,time_to_close,url
102,b'How to get rid of large native/onnxruntime.pdb',Software,closed,2018-12-05T11:43:18Z,2018-12-06 02:05:59+00:00,2021-09-07T17:49:34Z,0,1007,https://api.github.com/repos/microsoft/onnxruntime/issues/102
113,b'Cross compile error on Linux for ARM',Software,closed,2018-12-06T01:58:25Z,2018-12-06 20:58:17+00:00,2018-12-10T23:57:59Z,0,4,https://api.github.com/repos/microsoft/onnxruntime/issues/113
114,b'Is InferenceSession.Run thread-safe?',Software,closed,2018-12-06T02:23:41Z,2018-12-06 02:30:48+00:00,2018-12-06T04:11:25Z,0,0,https://api.github.com/repos/microsoft/onnxruntime/issues/114
116,"b""Unable to load DLL 'onnxruntime.dll': The specified module could not be found.""",Software,closed,2018-12-06T08:12:42Z,2018-12-06 08:14:19+00:00,2018-12-07T20:33:03Z,0,1,https://api.github.com/repos/microsoft/onnxruntime/issues/116
145,b'Will have plan to support RISC-V processor? Or how to port to different processor?',Software,closed,2018-12-11T05:43:27Z,2018-12-11 07:24:00+00:00,2020-07-25T06:40:35Z,0,592,https://api.github.com/repos/microsoft/onnxruntime/issues/145
156,b'OnnxRuntime C# library - add support for Sequence and Map model output types',Software,closed,2018-12-12T18:08:10Z,2019-02-04 18:22:21+00:00,2019-03-06T00:00:41Z,54,83,https://api.github.com/repos/microsoft/onnxruntime/issues/156
167,b'CPU runtime inference speed  slow',Software,closed,2018-12-13T09:55:54Z,2018-12-13 23:20:42+00:00,2019-03-14T07:29:11Z,0,90,https://api.github.com/repos/microsoft/onnxruntime/issues/167
186,b'GTest submodule conflicts',Software,closed,2018-12-17T06:36:58Z,2019-02-21 00:54:44+00:00,2020-07-25T07:40:15Z,65,586,https://api.github.com/repos/microsoft/onnxruntime/issues/186
187,"b""segmentation fault when Tile's repeat contains 0""",Software,closed,2018-12-17T07:26:35Z,2018-12-17 19:49:54+00:00,2019-01-16T05:35:00Z,0,29,https://api.github.com/repos/microsoft/onnxruntime/issues/187
204,b'Get reshape error for Tensorflow BERT model',Software,closed,2018-12-18T15:22:06Z,2018-12-18 15:22:44+00:00,2019-02-08T15:25:12Z,0,52,https://api.github.com/repos/microsoft/onnxruntime/issues/204
218,b'Tokenize a string with a regular expression.',Software,closed,2018-12-19T15:45:03Z,2019-01-02 22:32:05+00:00,2019-04-09T17:53:26Z,14,111,https://api.github.com/repos/microsoft/onnxruntime/issues/218
230,b'Lack of reproducibility',Software,closed,2018-12-20T04:45:08Z,2019-02-20 21:27:28+00:00,2019-03-20T00:02:03Z,62,89,https://api.github.com/repos/microsoft/onnxruntime/issues/230
